// Ability_KingKlout1	
Ability_KingKlout1_name	Goblin Toss
Ability_KingKlout4_IMPACT_effect	Выберите направление, в котором полетит шар энергии и поразит врагов на линии. Каждый задетый враг получает до ^o{150,250,350} ед. магического урона^*. Воины под управлением игроков ^oпугаются на срок до {1.5,2,2.5} секунд^*.\n\nВ любой момент ваш герой может снова использовать эту способность и телепортироваться к шару, отправив к прошлому месту своего пребывания новое ^oПроявление силы^*.\n\nЕсли Проявление силы задевает героев врага - подручные King Klout будут улучшены.\n\nЕсли первое Проявление силы задело героев врага и у King Klout нет 7 подручных, рядом появится новый ^rКРАСНЫЙ^* подручный или один из существующих подручных будет улучшен.\n-Проявление силы движется со скоростью 1250 ед.\n-В начале пути Проявление силы наносит {75,125,175} ед. магического урона, который повышается с отдалением героя врага от King Klout максимум на {75,125,175} ед. Герои врага получают максимальный урон на расстоянии 3500 ед. от вашего героя.\n-Испуг продолжается не менее {0.5} секунды, время испуга увеличивается с отдалением героя врага от King Klout максимум на {1,1.5,2} сек. Герои врага пугаются на максимальное время на расстоянии 3500 ед. от вашего героя.\n-Страх игнорирует полную защиту от магии.
Ability_KingKlout4_description_simple:kingkloutultactive	При использовании переносит вашего героя к Проявлению силы.\n\nСоздаёт новое Проявление силы и отправляет его к прошлому месту пребывания.\n\nКаждый задетый враг получает до ^o{150,250,350} ед. магического урона^*. Воины под управлением игроков ^oпугаются на срок до {1.5,2,2.5} секунд^*.
Ability_KingKlout4_IMPACT_effect:kingkloutultactive	При использовании переносит вашего героя к Проявлению силы.\n\nСоздаёт новое Проявление силы и отправляет его к прошлому месту пребывания.\n\nКаждый задетый враг получает до ^o{150,250,350} ед. магического урона^*. Воины под управлением игроков ^oпугаются на срок до {1.5,2,2.5} секунд^*.\n-Проявление силы движется со скоростью 1250 ед.\n-В начале пути Проявление силы наносит {75,125,175} ед. магического урона, который повышается с отдалением героя врага от King Klout максимум на {75,125,175} ед. Герои врага получают максимальный урон на расстоянии 3500 ед. от вашего героя.\n-Испуг продолжается не менее {0.5} секунды, время испуга увеличивается с отдалением героя врага от King Klout максимум на {1,1.5,2} сек. Герои врага пугаются на максимальное время на расстоянии 3500 ед. от вашего героя.\n-Страх игнорирует полную защиту от магии.
	
// State_KingKlout_Ability4	
State_KingKlout_Ability4_name	King Klout's Parade
State_KingKlout_Ability4_description	Напуган Проявлением силы
	
// State_KingKlout_Ability4_Self	
State_KingKlout_Ability4_Self_name	Parade of Power
State_KingKlout_Ability4_Self_description	Переносит вашего героя к Проявлению силы.
	
// Hero_KingKlout	
Hero_KingKlout_name	King Klout
Hero_KingKlout_description	В начале своего восхождения к легендарности, King Klout Милостивый и Великодушный был главарём бесчинствующей шайки гоблинов-карманников. Впрочем, он всегда считал себя рождённым для чего-то большего. Позже он получил Корону и Скипетр Алловина, проявив недюжинное коварство и отвагу, не раз рискуя жизнью и здоровьем (никто не говорит, что своими собственными). В итоге претендент обрёл право именоваться величайшим и славнейшим правителем всея Новоземья ныне, присно и во веки веков. Хазза!
Hero_KingKlout_role	King Klout - инициатор, которому не нужен Портальный ключ, чтобы начинать битвы из любого места на карте. Использованные вместе способности Швырни гоблина и Фанфарон быстро накладывают заряды Оравы на врага. Проявление силы может стать серьезной угрозой...если вы хорошо прицелитесь!
	
	
	
	
	
	
// Ability_Ebulus1	
Ability_Ebulus1_name	Poison Spray
Ability_Ebulus1_description	Slither направляет в выбранное место поток токсинов и поражает всех врагов, задетых этим потоком. Обрызганные враги замедляются, получают первоначальный, а потом и постепенный урон.
Ability_Ebulus1_description_simple	Выберите место, чтобы нанести оказавшимся на пути врагам ^o{50,70,70,100} ед. магического урона^* и ^oуменьшить скорость их движения на 50%^* на 6 секунд (эффект начинает ослабевать через 3 секунды).\n\nВсе враги получают дополнительные ^o{50,100,200,250} ед. магического урона за 15 секунд^*.
Ability_Ebulus1_effect_header	Эффекты Ядовитых брызг
Ability_Ebulus1_IMPACT_effect	Наносит {50,70,70,100} ед. магического урона оказавшимся на пути врагам и накладывает на них эффект Ядовитые брызги на 15 секунд.
Ability_Ebulus1_tooltip_flavor	Апчхи!
	
// State_Ebulus_Ability1	
State_Ebulus_Ability1_name	Poison Spray
State_Ebulus_Ability1_FRAME_effect	Каждые 3 секунды наносит {10,20,40,50} ед. магического урона.\nПервоначально уменьшает скорость движения на 50%, эффект ослабевает в течение 6 секунд.
	
// Ability_Ebulus2	
Ability_Ebulus2_name	Toxicity
Ability_Ebulus2_description	К атакам Slither добавляется яд, который наносит урон в течение 8 секунд, чуть замедляет движение и значительно - регенерацию здоровья.
Ability_Ebulus2_description_simple	Пассивно усиливает атаки вашего героя, позволяя им дополнительно наносить ^o{35,70,105,140} ед. магического урона за 8 секунд^*. На время действия яда, замедляет регенерацию здоровья врагов на {30,50,70,90}%, а скорость движения - на {1.25,2.5,3.75,5}%.
Ability_Ebulus2_effect_header	Эффекты Токсичности
Ability_Ebulus2_effect_header:attack	Эффекты Токсичности
Ability_Ebulus2_ATTACK_IMPACT_effect:attack	Накладывает на цель эффект Токсичность на 8 секунд. Ваши иллюзии тоже накладывают Токсичность, но на 2.66 секунд.
Ability_Ebulus2_tooltip_flavor	Что-то ты плохо выглядишь!
	
// State_Ebulus_Ability2	
State_Ebulus_Ability2_name	Toxicity
State_Ebulus_Ability2_FRAME_effect	{5,10,15,20} ед. магического урона в секунду
	
// Ability_Ebulus3	
Ability_Ebulus3_name	Toxin Ward
Ability_Ebulus3_description	Slither выбирает место и призывает стража, который атакует врагов поблизости, наносит им небольшой урон и замедляет передвижение. Страж полностью защищён от магии.
Ability_Ebulus3_description_simple	Выберите место, чтобы призвать стража.\n\nЯдовитый страж имеет ^o{60,110,160,210} ед. здоровья и живёт 40 секунд^*. С каждой атакой он наносит ^o{10,19,28,37} ед. физического урона^*, ^oзамедляет движение цели на 25 ед. на 5 секунд^* и увеличивает на 1 секунду продолжительность эффектов от других способностей Slither на цели.\n\nЗаряд восполняется каждые 3 секунды. Максимальное количество зарядов: ^o{1,1,2,2}^*.
Ability_Ebulus3_effect_header	Эффекты Ядовитого стража
Ability_Ebulus3_IMPACT_effect	Призывает Ядовитого стража в выбранное место на 40 секунд. Ядовитый страж имеет {60,110,160,210} ед. здоровья. Он атакует раз в 1.5 секунды и с каждой атакой наносит {10,19,28,37} ед. физического урона, также замедляет движение цели на 25 ед. на 5 секунд и увеличивает на 1 секунду продолжительность эффектов от других способностей Slither на цели. Страж рассеивает туман войны на 650 ед.\n\nЗаряд восполняется каждые 3 секунды. Максимальное количество зарядов: {1,1,2,2}.
Ability_Ebulus3_tooltip_flavor	Покорми меня, Сэймур.
	
// Gadget_Ebulus_Ability3	
Gadget_Ebulus_Ability3_name	Toxin Ward
	
// Gadget_Ebulus_Ability3_Alt	
Gadget_Ebulus_Ability3_Alt_name	Toxin Ward
	
// Gadget_Ebulus_Ability3_Alt2	
Gadget_Ebulus_Ability3_Alt2_name	Toxin Ward
	
// Gadget_Ebulus_Ability3_Alt3	
Gadget_Ebulus_Ability3_Alt3_name	Toxin Ward
	
// State_Ebulus_Ward_Attack	
State_Ebulus_Ward_Attack_name	Poisoned
	
// Ability_Ebulus4	
Ability_Ebulus4_name	Poison Burst
Ability_Ebulus4_description	Slither разбрызгивает яд во все стороны. Задетые кольцом яда враги заболевают и постепенно теряют здоровье. Заболевание несмертельно, то есть не опускает здоровье цели ниже 1 единицы.
Ability_Ebulus4_description_simple	Используйте, чтобы нанести врагам ^o{432,696,972} ед. несмертельного магического урона за 12 секунд^*. Облако яда накрывает большую область вокруг вашего героя. При сотворении заклинание рассеивает туман войны вокруг Slither.\n\n^gПосох владыки^* увеличивает наносимый урон, ускоряет перезарядку и делает отравление смертельным.
Ability_Ebulus4_description_simple:ult_boost	Используйте, чтобы нанести врагам ^g{696,972,1296} ед. смертельного магического урона за 12 секунд^*. Облако яда накрывает большую область вокруг вашего героя. При сотворении заклинание рассеивает туман войны вокруг Slither.\n\n^gЭта способность усилена Посохом владыки.^*
Ability_Ebulus4_description2	^gЭту способность можно усилить Посохом владыки.^*\n\n^gЭффекты Посоха:^* увеличивает урон с {36,58,81} до {58,81,108} и делает его смертельным. Сокращает время перезарядки способности до {100,80,60} секунд.
Ability_Ebulus4_effect_header	Эффекты Кислотного яда
Ability_Ebulus4_effect_header:ult_boost	Эффекты Кислотного яда
Ability_Ebulus4_IMPACT_effect	Накладывает на цели в радиусе 950 ед. эффект Кислотный яд на 12 секунд. Рассеивает туман войны на 800 ед. вокруг Slither на 3 секунды.
Ability_Ebulus4_name:ult_boost	Распыление токсинов ^g(усилена)^*
Ability_Ebulus4_description2:ult_boost	^gЭта способность усилена Посохом владыки.^*
Ability_Ebulus4_tooltip_flavor	Меня просто слегка мутит!
	
// State_Ebulus_Ability4	
State_Ebulus_Ability4_name	Acidic Poison
State_Ebulus_Ability4_FRAME_effect	{36,58,81} ед. несмертельного магического урона в секунду.
State_Ebulus_Ability4_FRAME_effect:ult_boost	^g{58,81,108}^* ед. смертельного магического урона в секунду.
	
// Hero_Ebulus	
Hero_Ebulus_name	Slither
Hero_Ebulus_description	Змей Седьмой ямы, пожиратель слабых и беспомощных, был призван на бой в последние дни войны между людьми и зверьми. Коварный обманщик и мастер пустых обещаний, Slither наслаждается чужими страданиями и отчаянием.
Hero_Ebulus_role	Slither - гибкий мастер на все руки. Он способен как продавливать линию с помощью Ядовитых стражей, так и наносить постепенный урон множеству врагов за счёт заклинаний Ядовитые брызги и Распыление яда. Его Токсичность - одна из самых сильных пассивных способностей для атак и изматывания врага на раннем этапе игры.
	
// Ability_Electrician1	
Ability_Electrician1_name	Static Grip
Ability_Electrician1_description	Electrician ловит цель в статический захват, не давая двигаться, атаковать, творить заклинания или использовать предметы, пока действует эта способность.
Ability_Electrician1_description_simple	Выберите врага, чтобы создать с ним связь, нанося ^o{20,40,60,80} ед. магического урона в секунду^*, обездвиживая и оглушая цель максимум на ^o{2,2.6,3.2,3.8} секунды^*. Electrician при этом может свободно действовать.\n\nСвязь прерывается, если Electrician оглушен, получил онемение, если эффект был снят с цели или расстояние между целью и Electrician превышает 700 ед.
Ability_Electrician1_effect_header	Эффекты Статического захвата
Ability_Electrician1_IMPACT_effect	Выберите врага, чтобы создать с ним связь, нанося ^o{20,40,60,80} ед. магического урона в секунду^*, обездвиживая и оглушая цель максимум на ^o{2,2.6,3.2,3.8} секунды^*. Electrician при этом может свободно действовать.\n\nСвязь прерывается, если Electrician оглушен, получил онемение, если эффект был снят с цели или расстояние между целью и Electrician превышает 700 ед.
Ability_Electrician1_tooltip_flavor	Отключите прерыватель!
	
// State_Electrician_Ability1	
State_Electrician_Ability1_name	Static Grip
State_Electrician_Ability1_FRAME_effect	{20,40,60,80} ед. магического урона в секунду.
	
// State_Electrician_Ability1_Areadamage	
State_Electrician_Ability1_Areadamage_name	Static Grip
State_Electrician_Ability1_Areadamage_FRAME_effect	{20,40,60,80} ед. магического урона в секунду.
	
// State_Electrician_Ability1_Self	
State_Electrician_Ability1_Self_name	Static Grip
State_Electrician_Ability1_Self_FRAME_effect	{20,40,60,80} ед. магического урона в секунду.
	
// Ability_Electrician2	
Ability_Electrician2_ACTIVATE_COST_effect	^cИспользует до 20% от максимума маны (не менее 5 ед.).^*
Ability_Electrician2_name	Electric Shield
Ability_Electrician2_description	Electrician закрывает себя щитом, сотканным из электричества. Щит поглощает часть получаемого урона.
Ability_Electrician2_description_simple	Используйте, чтобы создать щит, потратив на это до ^o20% от максимума маны (не менее 5 ед.).^*\n\nЩит поглощает 50% получаемого вашим героем урона, вплоть до ^o{0.75,0.95,1.15,1.35}x количество потраченной на него маны^*. Щит действует ^o12 секунд^* и наносит ближайшим врагам ^o{15,30,45,60} ед. магического урона в секунду.^* Не прерывает использование способностей.
Ability_Electrician2_effect_header	Эффекты Электрического щита
Ability_Electrician2_effect_header2	Эффекты Электрической ауры
Ability_Electrician2_IMPACT_effect	^cИспользует до 20% максимальной маны героя (минимум 5 ед.)^*\n\nПрименяет на вашего героя Электрический щит на 12 секунд, поглощающий входящий урон в размере {0.75,0.95,1.15,1.35}x количество потраченной на него маны. Пока щит действует, он накладывает на врагов в радиусе 300 ед. эффект Электрическая аура.\n\nНе прерывает использование способностей.
Ability_Electrician2_tooltip_flavor	Не суй палец в розетку.
	
// State_Electrician_Ability2	
State_Electrician_Ability2_name	Electric Shield
State_Electrician_Ability2_description	Поглощает получаемый урон в размере потраченной на сотворение маны.\n\nНаносит {15,30,45,60} ед. магического урона врагам в радиусе 300 ед.
State_Electrician_Ability2_FRAME_effect	Поглощает 50% входящего урона в размере до {0.75,0.95,1.15,1.35}x количество потраченной на щит маны.
	
// State_Electrician_Ability2_Areadamage	
State_Electrician_Ability2_Areadamage_name	Electric Aura
State_Electrician_Ability2_Areadamage_FRAME_effect	{15,30,45,60} ед. магического урона в секунду.
	
// Ability_Electrician3	
Ability_Electrician3_name	Energy Absorption
Ability_Electrician3_description	Electrician накрывает мощным разрядом область вокруг себя. Ближайшие враги получают урон и теряют ману, часть которой переходит герою. Кроме того, скорость движения Electrician увеличивается на 50 ед.
Ability_Electrician3_description_simple	Используйте, чтобы нанести ближайшим врагам ^o{85,150,215,280} ед. магического урона^* и сжечь ^o{8,10,12,14}% от их максимальной маны.^*\n\nElectrician получает ^o{12,16,20,24} ед. маны^* от каждого задетого врага (втрое больше от героев). Если способность кого-то задела, он получает ^o50 ед. к скорости движения^* на ^o7 секунд^*.
Ability_Electrician3_effect_header	Эффекты Поглощения энергии
Ability_Electrician3_IMPACT_effect	Наносит {85,150,215,280} ед. магического урона врагам в области действия и сжигает {8,10,12,14}% их максимальной маны.\n\nВаш герой восполняет {12,16,20,24} ед. маны от каждого задетого врага (втрое больше от героев). Накладывает на вашего героя эффект Поглощение энергии на 7 секунд, если способность задела хотя бы одного врага.
Ability_Electrician3_tooltip_flavor	Меня вырубили!
	
// State_Electrician_Ability3	
State_Electrician_Ability3_name	Energy Absorption
	
// Ability_Electrician4	
Ability_Electrician4_name	Cleansing Shock
Ability_Electrician4_description	Electrician шарахает выбранного воина током. Если это союзник, он теряет ослабления и начинает быстрее двигаться. Если враг, то теряет усиления и замедляется.
Ability_Electrician4_description_simple	Выберите врага, чтобы снять с него усиления и ^oзамедлить его движение на {40,60,80}%^* (ослабевающий эффект). Вместо этого можно выбрать союзника (или своего героя), чтобы снять ослабления и ^oускорить его движение на {30,40,50}%^*.\n\nМгновенно убивает вражеских призванных воинов и иллюзии^*. ^oПоражает дополнительных ближайших целей: {0,1,2}^*.
Ability_Electrician4_effect_header	Эффекты очищения
Ability_Electrician4_effect_header2	Эффекты потрясения
Ability_Electrician4_IMPACT_effect	Выберите врага, чтобы снять с него усиления и ^oзамедлить его движение на {40,60,80}%^* (ослабевающий эффект). Вместо этого можно выбрать союзника (или своего героя), чтобы снять ослабления и ^oускорить его движение на {30,40,50}%^*.\n\nМгновенно убивает вражеских призванных воинов и иллюзии^*. ^oПоражает дополнительных ближайших целей: {0,1,2}^*.
	
// State_Electrician_Ability4_Allies	
State_Electrician_Ability4_Allies_name	Cleansed
State_Electrician_Ability4_Allies_FRAME_effect	Первоначально добавляет {30,40,50}% к скорости движения, эффект ослабевает со временем.
	
// State_Electrician_Ability4_Enemies	
State_Electrician_Ability4_Enemies_name	Shocked
State_Electrician_Ability4_Enemies_FRAME_effect	Первоначально отнимает {40,60,80}% от скорости движения, эффект ослабевает со временем.
	
// State_Electrician_Ability4_Immobilized	
State_Electrician_Ability4_Immobilized_name	Shocked
State_Electrician_Ability4_Immobilized_FRAME_effect	Первоначально отнимает {40,60,80}% от скорости движения, эффект ослабевает со временем.
	
// Hero_Electrician	
Hero_Electrician_name	Electrician
Hero_Electrician_description	Лучшие шпионы Легиона недавно узнали о сумасшедшем археологе. Преисподняя поймала его на крючок неуёмной жажды знаний и предложила заключить запретный договор. Открытия этого учёного легли в основу Грозовых солдат: людей, неотделимых от технологий Древних и переполненных энергией разрушения. Полулюди, полумашины, они вселяют ужас и повсюду носят на спинах баки со сжиженными молниями. Сила этих молний позволяет им защищать себя и уничтожать врагов.
Hero_Electrician_role	Electrician - танк с сильной зависимостью от маны. Он может быть кэрри или героем поддержки благодаря потенциально высокому урону и возможности обезвреживать врагов. Шоковая терапия позволяет снимать почти все ослабления с союзников, одновременно подгоняя их.
	
	
	
	
// Ability_Gauntlet1	
Ability_Gauntlet1_name	Infernal Instability
Ability_Gauntlet1_description	Демоническая сила, питающая тяжёлый кулак Gauntlet, становится нестабильной. Если ударить им в следующие несколько секунд, часть заключённой в кулаке силы сдетонирует, нанеся урон всем ближайшим врагам и отбросив их.
Ability_Gauntlet1_description2	Если удара по врагу не было, герой вернет себе 50% потраченной маны.
Ability_Gauntlet1_description_simple	Используйте, чтобы зарядить кулак Gauntlet на ^o4 секунды^*.\n\nВ это время ^oскорость движения Gauntlet вырастает на 40 ед.^*, а его следующая атака наносит ^o{120,180,260,320} ед. магического урона^* в области вокруг цели. Если удара по врагу не было, 50% потраченной маны возвращается в запас.
Ability_Gauntlet1_effect_header	Нестабильность пекла
Ability_Gauntlet1_tooltip_flavor	Н-на!
Ability_Gauntlet1_IMPACT_effect	При использовании, накладывает на вашего героя Нестабильность пекла на 4 секунды и даёт максимальное количество зарядов Слабость.\n\nПока действует способность, кулак Gauntlet готов сдетонировать при контакте с первой ударенной целью.\n\nПри таком ударе, способность наносит {120,180,260,320} ед. магического урона в области вокруг цели, отбрасывая ближайших к ней воинов.
	
// State_Gauntlet_Ability1	
State_Gauntlet_Ability1_name	Infernal Instability
State_Gauntlet_Ability1_FRAME_effect	Следующая атака наносит {120,180,260,320} ед. магического урона цели и ближайшим к ней врагам.\nБлижайшие к цели враги отбрасываются.
	
// Ability_Gauntlet2	
Ability_Gauntlet2_name	Grapple
Ability_Gauntlet2_description	Gauntlet стреляет своим кулаком на цепи. Если он схватит героя врага, Gauntlet и этот враг будут притянуты в выбранное место.
Ability_Gauntlet2_description2	
Ability_Gauntlet2_description_simple	Выберите место, чтобы запустить туда кулак Gauntlet.\n\nЕсли по пути кулак налетит на героя, Gauntlet и этот герой переместятся в выбранное место. Если герой - враг, способность наносит ему ^o{100,140,180,220} ед. магического урона^* и ^oоглушает на {1,1.2,1.4,1.6} сек.^*
Ability_Gauntlet2_effect_header	
Ability_Gauntlet2_effect_header2	
Ability_Gauntlet2_tooltip_flavor	Gotcha!
Ability_Gauntlet2_IMPACT_effect	Запускает кулак Gauntlet на расстояние до {800,900,1000,1100} ед. в направлении выбранного места. При столкновении с любым героем, Gauntlet и этот герой притягиваются к выбранному месту.\n\nЕсли целью стал герой врага, он получает {100,140,180,220} ед. магического урона и оглушается на {1,1.2,1.4,1.6} сек.
	
// Ability_Gauntlet2_Sub	
Ability_Gauntlet2_Sub_name	Grapple
Ability_Gauntlet2_Sub_description	Gauntlet стреляет своим кулаком на цепи. Если кулак хватает героя, этот герой притягивается к Gauntlet.
Ability_Gauntlet2_Sub_description2	
Ability_Gauntlet2_Sub_description_simple	Запустите кулак Gauntlet в направлении взгляда вашего героя.\n\nЕсли кулак натолкнётся на героя, этот герой будет перемещён к Gauntlet. Если герой - враг, способность нанесёт ему ^o{100,140,180,220} ед. магического урона^* и ^o оглушит на {1,1.2,1.4,1.6} сек.^*
Ability_Gauntlet2_Sub_effect_header	
Ability_Gauntlet2_Sub_effect_header2	
Ability_Gauntlet2_Sub_tooltip_flavor	Gotcha!
Ability_Gauntlet2_Sub_IMPACT_effect	Запускает кулак Gauntlet на расстояние до {800,900,1000,1100} ед. в направлении взгляда вашего героя. При столкновении с любым героем, этот герой притягивается к Gauntlet.\n\nЕсли целью стал герой врага, он получает {100,140,180,220} ед. магического урона и оглушается на {1,1.2,1.4,1.6} сек.
	
// Ability_Gauntlet3	
Ability_Gauntlet3_name	Enfeeble
Ability_Gauntlet3_description	Gauntlet отвешивает противнику затрещину, калечит его и увеличивает свой урон за счёт урона цели.
Ability_Gauntlet3_description_simple	Пассивно даёт заряд каждые ^o{0.8,0.6,0.4,0.2} секунды^*, пока Gauntlet не атакует. Максимальное количество зарядов: ^o{20,25,30,35}^*.\n\nАтака, направленная на героя врага, поглощает все заряды, замедляет движение и атаку цели, крадёт ^o1% урона за каждый потраченный заряд^*. Кроме того, она замедляет сотворение заклинаний на 1 за каждый заряд.\n\nАтака обычных воинов не расходует заряды.
Ability_Gauntlet3_effect_header	Эффекты Слабости
Ability_Gauntlet3_effect_header2	Эффекты Силы
Ability_Gauntlet3_tooltip_flavor	Не по лицу!
Ability_Gauntlet3_IMPACT_effect	Даёт 1 заряд каждые {0.8,0.6,0.4,0.2} секунды, пока Gauntlet не атакует. Максимальное количество зарядов: {20,25,30,35}.
Ability_Gauntlet3_ATTACK_IMPACT_effect	Атакованная цель получает эффект Слабость на 4 секунды. Если цель - герой, при атаке тратятся все заряды.\n\nМаксимальное замедление: 35%.\n\nВаш герой на 4 секунды получает эффект Сила, который повышает урон за счёт отнятого урона цели.
Ability_Gauntlet3_ATTACK_IMPACT_effect:attack	Атакованная цель получает эффект Слабость на 4 секунды. Если цель - герой, при атаке тратятся все заряды.\n\nМаксимальное замедление: 35%.\n\nВаш герой на 4 секунды получает эффект Сила, который повышает урон за счёт отнятого урона цели.
	
// State_Gauntlet_Ability3	
State_Gauntlet_Ability3_name	Enfeeble
State_Gauntlet_Ability3_description	
State_Gauntlet_Ability3_description2	
State_Gauntlet_Ability3_effect_header	Отсутствует
State_Gauntlet_Ability3_effect_header2	Отсутствует
State_Gauntlet_Ability3_tooltip_flavor	Отсутствует
