TargetScheme_melee_units,Бойцы
TargetScheme_ranged_units,Стрелки
TargetScheme_visible_enemy_units,Видимые войска врагов
TargetScheme_visible_enemy_heroes,Видимые герои врагов
TargetScheme_visible_enemy_objects,Видимые объекты врагов
TargetScheme_injured_ally_units,Раненые войска союзников
TargetScheme_injured_ally_units_incl_self,Раненые войска союзников
TargetScheme_enemy_units_and_trees,Войска врагов и деревья
TargetScheme_all_other_units,Другие войска
TargetScheme_all_other_organic_units,Другие живые войска
TargetScheme_enemy_buildings,Здания врагов
TargetScheme_enemy_melee_heroes,Герои-бойцы врагов
TargetScheme_hook_targets,Все не осадные войска
TargetScheme_enemy_units_and_corpses,Войска врагов и трупы
TargetScheme_nonneutral_enemy_units,Не нейтральные враги
TargetScheme_player_controlled_ally_units,Контролируемые игроком союзные войска
TargetScheme_all_nonhero_units,Все обычные воины
TargetScheme_other_heroes,Другие герои
TargetScheme_my_other_units,Мои подручные
TargetScheme_enemy_nonhero_units,Не герои воины врагов
TargetScheme_organic_enemy_units,Живые войска врагов
TargetScheme_organic_ally_units,Живые войска союзников
TargetScheme_all_organic_units,Все живые войска
TargetScheme_all_heroes,Все герои
TargetScheme_enemy_main_base_structure,Главное строение врагов
TargetScheme_ally_well,Колодец союзников
TargetScheme_all_other_nonboss_units,Все войска без боссов
TargetScheme_boss,Боссы
TargetScheme_other_bosses,Другие боссы
TargetScheme_enemy_nonboss_units,Враги - не боссы
TargetScheme_nonneutral_organic_enemy_units,Не нейтральные враги
TargetScheme_boss1,
TargetScheme_boss2,
TargetScheme_WellMarker,
TargetScheme_enemy_nonboss_npc_units,Неигровые враги - не боссы
TargetScheme_enemy_units_and_structures,Вражеские объекты
TargetScheme_all_other_heroes,Все другие герои
TargetScheme_ally_objects,Объекты союзников
TargetScheme_visible_organic_enemy_units,
TargetScheme_enemy_units_and_self,Ваш герой/Войска врагов
TargetScheme_all_other_units_and_buildings,
TargetScheme_summoned_enemy_units,Призванные войска врагов
TargetScheme_ally_creeps,Существа союзников
TargetScheme_enemy_ranged_heroes,Герои-стрелки врагов
TargetScheme_all_other_nongadget_units,
TargetScheme_nonneutral_enemy_units_and_other_ally_heroes,
TargetScheme_electriceyes,
TargetScheme_other_ally_units,Другие войска союзников
TargetScheme_nonstealth_organic_enemy_units,
TargetScheme_nonboss_visible_enemy_units,
TargetScheme_nongadget_ally_units,
TargetScheme_nonboss_organic_enemy_units,Живые войска врагов
TargetScheme_neutral_aggro,
TargetScheme_enemy_creeps_and_corpses,Существа и трупы врагов
TargetScheme_my_pseudo_pets,Ваши псевдопитомцы
TargetScheme_ally_main_base_structure_and_trees,
TargetScheme_nonillusion_enemy_heroes,Не иллюзии герои врагов
TargetScheme_my_illusions,Ваши иллюзии
TargetScheme_other_ally_heroes,Другие герои союзников
TargetScheme_nonillusion_other_ally_heroes,Другие герои союзников
TargetScheme_engineer_units,Механизмы
TargetScheme_turret_targets,
TargetScheme_ally_units_and_structures,Союзные войска и Строения
TargetScheme_ally_heroes_and_structures,Союзные герои и Строения
TargetScheme_pseudo_pets,
TargetScheme_everything_but_towers,
TargetScheme_Zephyr_Cyclones,
TargetScheme_enemy_mana_units,Войска врагов с маной
TargetScheme_ally_mana_units,Войска союзников с маной
TargetScheme_nonboss_organic_enemy_units_and_self,
TargetScheme_all_corpses,
TargetScheme_enemy_units_and_deniable,Добиваемые и вражеские войска
TargetScheme_ally_nonhero_units,Не герои союзников
TargetScheme_player_controlled_enemy_units,Войска врагов под контролем игрока
TargetScheme_all_nonhero_corpses,Все трупы не героев
TargetScheme_enemy_units_notmine,
TargetScheme_touchpowerup,
TargetScheme_all_units_except_couriers,
TargetScheme_Gauntlet_Gadget,
TargetScheme_heroes_only,Только герои
TargetScheme_movement,
TargetScheme_canattack,
TargetScheme_token,
TargetScheme_cheese,
TargetScheme_doombringer,
TargetScheme_not_rooted_willing_ally_heroes,Готовые герои союзников
TargetScheme_nonillusion_other_willing_ally_heroes,Не иллюзии герои союзников
TargetScheme_enemy_and_willing_ally_heroes,Герои врагов/союзников
TargetScheme_enemy_heroes_and_Towers,Герои и башни врагов
TargetScheme_Deadlift,Все живые войска
TargetScheme_not_visible_enemy_units,Невидимые войска врага
TargetScheme_my_other_catz,Огонь или Лёд
Popup_gold,+{value}
Popup_experience,+{value}
Popup_critical,{value}!
Popup_miss,Промах!
Popup_deny,Добит!
Popup_manaburn,-{value}
Popup_poison,{value}!
Popup_bonus_damage,+{value}
Popup_deflection,-{value}
Popup_toofar,Too bad!
Popup_multicast,{value}x MULTICAST!
Popup_bonus_mana,+{value}+
Popup_execution,+{value}
Popup_gainint,+{value} Int!
Popup_loseint,-{value} Int!
Popup_creep_kill,₽
Popup_seconds,{value}сек!
Popup_seconds_decimal,{value}сек!
Popup_max,MAX!
Popup_pow,POW!
Popup_dot_physical_damage,{value}!
Popup_timer,{value}
Popup_timer_hero,{value}
Popup_LodestoneUlt,{value}
Popup_morult,{value}
Popup_EmeraldWarden1,Gawain использует Diving Strike!
Popup_EmeraldWarden2,Gawain использует Forest's Touch!
Popup_EmeraldWarden3,Gawain использует Emerald Storm!
Popup_Ra,{value}!
Popup_ra_rebirth,Возрождение!
Popup_ra_timer,{value}
Popup_krospoints,-{value} очков
Popup_pluspoints,+{value} очков
Popup_stunned,Оглушен {value}сек
Popup_feared,Страх {value}сек
Popup_polymorphed,Заколдован {value}сек
Popup_gold_gained,{value} золота!
Popup_deadlift_rez_accepted,Воскрешение принято!
Popup_deadlift_rez_declined,Воскрешение отклонено!
Popup_fake_gold,Фальшивое золото {value}
Popup_suppressed,Замедлен
Popup_stunned,Оглушен {value}сек
Popup_frozen,Заморожен
Popup_feared,Страх {value}сек
Popup_polymorphed,Заколдован {value}сек
Popup_taunted,Taunted {value}сек
Popup_silenced,Безмолвие {value}сек
Popup_silenced_notimer,Безмолвие
Popup_manalocked,Мана заблокирована
Popup_immobilized,Обездвижен {value}сек
Popup_immobilized_notimer,Обездвижен
Popup_disarmed,Обезоружен {value}сек
Popup_perplexed,Ошеломлен {value}сек
Popup_restrained,Скован {value}сек
Popup_slowed,Замедлен
Popup_damage_physical,{value}
Popup_damage_magical,{value}
Popup_damage_attempted,{value} попытка
Popup_pluspointsyellow,+{value} Желтая команда
Popup_pluspointsblue,+{value} Синяя команда
Popup_fake,Подделка!
Mode_Normal,All Pick
Mode_RandomDraft,Random Draft
Mode_SingleDraft,Single Draft
Mode_BanningDraft,Banning Draft
Mode_CaptainsDraft,Captains Draft
Mode_CaptainsMode,Captains Mode
Mode_Deathmatch,Deathmatch
Mode_BanningPick,Banning Pick
Mode_AllRandom,Balanced Random
Mode_Lockpick,Lockpick
Mode_Invalid,Invalid
Mode_BlindBan,Blind Ban
Mode_BotMatch,Bot Match
Mode_Captains,Captains Pick
Mode_KrosMode,Shuffle Pick
Mode_ForcePick,Force Pick
Mode_SoccerPick,Limited Pick
Mode_SoloSame,Same Heroes
Mode_SoloDiff,Different Heroes
Mode_CounterPick,Counter Pick
Mode_MidWars_Beta,Mid Wars Beta
Mode_HeroBan,Hero Ban
Option_None,Нет
Option_ForceRandom,Случайный выбор
Option_AlternateSelection,Поочередный выбор
Option_NoRepick,Без повторного выбора
Option_NoSwap,Без обмена
Option_NoAgility,Без ловкачей
Option_NoIntelligence,Без магов
Option_NoStrength,Без силачей
Option_AllHeroes,Все герои
Option_NoRespawnTimer,Мгновенное воскрешение
Option_DropItems,Выпадающие предметы
Option_NoPowerups,Без рун
Option_SuperCreeps,Сильные существа
Option_EasyMode,Лёгкий режим
Option_DuplicateHeroes,Одинаковые герои
Option_ReverseSelection,Выбирать героя врагу
Option_NoTopLane,Без верхней линии
Option_NoMiddleLane,Без средней линии
Option_NoBottomLane,Без нижней линии
Option_AllowVeto,Разрешить вето
Option_ShuffleTeams,Перемешать команды
Option_AutoBalanceTeams,Автоматический баланс
Option_DevHeroes,Герои в разработке
Option_TournamentRules,Правила турнира
Option_Hardcore,Сложный режим
Option_Casual,Казуальный режим
Option_Gated,Основной пул
Option_CorePool,Основной пул
Option_BalancedRandom,Сбалансированный случай
Option_ShuffleAbilities,Перемешать способности
Option_RapidFire,Blitz режим
Building_HellbourneTower_name,Оборонительная башня
Building_HellbourneBase_name,Жертвенный алтарь
Building_HellbourneMeleeBarracks_name,Логово Бесов
Building_HellbourneRangedBarracks_name,Ковен Колдунов
Building_HellbourneRepeater1_name,Алтарь
Building_HellbourneRepeater2_name,Алтарь
Building_HellbourneRepeater3_name,Алтарь
Building_HellbourneRepeater4_name,Алтарь
Building_HellbourneRepeater5_name,Тефтелька
Building_HellbourneRepeater5_description,
Building_HellbourneStore_name,Обсерватория
Building_HellbourneWell_name,Смоляной колодец
State_HellbourneHealingWell_name,Смоляная яма
State_HellbourneHealingWell_Speed_name,Смоляная яма (Скорость)
Building_HellbourneWellStore_name,Магазин
Building_LegionTower_name,Оборонительная башня
Building_LegionBase_name,Древо Мира
Building_LegionBase_description,icon.tga
Building_LegionMeleeBarracks_name,Казармы Солдат
Building_LegionMeleeBarracks_description,icon.tga
Building_LegionRangedBarracks_name,Казармы Лучников
Building_LegionRangedBarracks_description,icon.tga
Building_LegionRepeater1_name,Святыня
Building_LegionRepeater2_name,Хижина
Building_LegionRepeater3_name,Хижина
Building_LegionRepeater4_name,Хижина
Building_LegionRepeater5_name,Святыня
Building_LegionRepeater6_name,Хижина
Building_LegionStore_name,Обсерватория
Building_LegionWell_name,Колодец Жизни
State_LegionHealingWell_name,Исцеляющий Колодец
State_LegionHealingWell_Speed_name,Исцеляющий Колодец (Скорость)
Building_LegionWellStore_name,Магазин
Building_Outpost_name,Застава
Building_Outpost_Watermill_name,Застава
Building_Outpost_camp_name,Застава
Ability_AttributeBoost_name,Рост характеристик
Ability_AttributeBoost_description,^yБонусы за уровень:^*\n+2 силы\n+2 ловкости\n+2 интеллекта
Ability_AttributeBoost_description_simple,Увеличивает характеристики вашего героя.\n\n^gБонусы за уровень:^*\n+2 силы\n+2 ловкости\n+2 интеллекта
State_Teleport_GrimmCrossroads_name,Задержка телепорта
State_Teleport_GrimmCrossroads_description,"Вы недавно использовали телепорт, необходимо немного подождать."
State_urf_name,BLITZ MODE!
State_urf_description,В этом режиме каждый немного Blitz
State_urf_FRAME_effect,+100% к урону от атаки
State_MidWarsBeta_name,Mid Wars Beta
State_MidWarsBeta_description,(Blitz Mode)
State_MidWarsBeta_FRAME_effect,+100% к урону от атаки
Ability_Taunt_name,Taunt
Ability_Taunt_name:disco_taunt,Disco Taunt
Ability_Taunt_name:gore_taunt,Gore Taunt
Ability_Taunt_description,
Ability_Taunt_description_simple,Использовать Taunt на этом аккаунте нельзя.
Ability_Taunt_description_simple:perks,"Выберите вражеского героя, чтобы применить к нему Taunt. Ваше местоположение будет раскрыто вражеской команде, пока Taunt активен. Убейте противника в течении 40 сек., к которому применили Taunt, чтобы заработать Smackdown.\n\n^gEmote:^* Используйте Taunt на себе, чтобы проиграть эмоцию без отката."
Ability_Taunt_description_simple:standard_taunt,"Выберите вражеского героя, чтобы применить к нему Taunt. Ваше местоположение будет раскрыто вражеской команде, пока Taunt активен. Убейте противника в течении 40 сек., к которому применили Taunt, чтобы заработать Smackdown.\n\n^gEmote:^* Используйте Taunt на себе, чтобы проиграть эмоцию без отката."
Ability_Taunt_description_simple:disco_taunt,"Выберите вражеского героя, чтобы применить к нему Taunt. Ваше местоположение будет раскрыто вражеской команде, пока Taunt активен. Убейте противника в течении 40 сек., к которому применили Taunt, чтобы заработать Smackdown.\n\n^gEmote:^* Используйте Taunt на себе, чтобы проиграть эмоцию без отката."
Ability_Taunt_description_simple:gore_taunt,"Выберите вражеского героя, чтобы применить к нему Taunt. Ваше местоположение будет раскрыто вражеской команде, пока Taunt активен. Убейте противника в течении 40 сек., к которому применили Taunt, чтобы заработать Smackdown.\n\n^gEmote:^* Используйте Taunt на себе, чтобы проиграть эмоцию без отката."
Ability_Taunt_IMPACT_effect,Использовать Taunt на этом аккаунте нельзя.
Ability_Taunt_IMPACT_effect:perks,"Выберите вражеского героя, чтобы применить к нему Taunt. Ваше местоположение будет раскрыто вражеской команде, пока Taunt активен. Убейте противника в течении 40 сек., к которому применили Taunt, чтобы заработать Smackdown.\n\n^gEmote:^* Используйте Taunt на себе, чтобы проиграть эмоцию без отката."
Ability_Taunt_IMPACT_effect:standard_taunt,"Выберите вражеского героя, чтобы применить к нему Taunt. Ваше местоположение будет раскрыто вражеской команде, пока Taunt активен. Убейте противника в течении 40 сек., к которому применили Taunt, чтобы заработать Smackdown.\n\n^gEmote:^* Используйте Taunt на себе, чтобы проиграть эмоцию без отката."
Ability_Taunt_IMPACT_effect:disco_taunt,"Выберите вражеского героя, чтобы применить к нему Taunt. Ваше местоположение будет раскрыто вражеской команде, пока Taunt активен. Убейте противника в течении 40 сек., к которому применили Taunt, чтобы заработать Smackdown.\n\n^gEmote:^* Используйте Taunt на себе, чтобы проиграть эмоцию без отката."
Ability_Taunt_IMPACT_effect:gore_taunt,"Выберите вражеского героя, чтобы применить к нему Taunt. Ваше местоположение будет раскрыто вражеской команде, пока Taunt активен. Убейте противника в течении 40 сек., к которому применили Taunt, чтобы заработать Smackdown.\n\n^gEmote:^* Используйте Taunt на себе, чтобы проиграть эмоцию без отката."
Ability_Dance_name,Эмоции
Ability_Dance_description_simple,"Используйте Эмоции, чтобы показать свои лучшие танцевальные движения на поле битвы!"
Ability_Dance_description,"Используйте Эмоции, чтобы показать свои лучшие танцевальные движения на поле битвы!"
Ability_Dance_description_simple:ability_dance_disabled,Нельзя использовать Эмоции на этом герое.
Pet_Sheep_Fat_name,Голем-Страж
Pet_Sheep_Flock_Cage_name,Голем-Обелиск
Pet_Sheep_Flock_Minion_name,Призрачный Голем
Pet_Sheep_Flying_name,Голем-Трутень
Pet_Sheep_Roller_name,Торпеды
Pet_Sheep_Blinker_name,Голыш
Pet_Sheep_Spore_name,Спорыжник
Grimm_Hunt_DOT_name,Поджог
Grimm_Hunt_DOT_FRAME_effect,Атаки героев поджигают здания на 5% от их максимального здоровья в течение 2 сек.\n\nУрон является несмертельным
Pet_GrimmHunt_Ending_Boss_Legion_name,Голем Легиона
Pet_GrimmHunt_Ending_Boss_Hellbourne_name,Голем Преисподней
Building_TrialTower_name,Оборонительная башня
Building_TrialMeleeBarracks_name,Казармы Солдат
Building_TrialRangedBarracks_name,Казармы Лучников
Building_TrialBase_name,Мировой Кристалл
Building_TrialWellStore_name,Магазин
Building_ConquerorTower_name,Оборонительная башня
Building_ConquerorMeleeBarracks_name,Казармы Солдат
Building_ConquerorRangedBarracks_name,Казармы Лучников
Building_ConquerorBase_name,Мировая Кузница
Building_ConquerorWellStore,Магазин
Building_ConquerorStore,Обсерватория
Tour_Legion_name,Эпицентр
Tour_Hellbourne_name,Эпицентр
Pet_Chicken_name,Курица
Gadget_Egg_name,Яйцо
Item_Egg_name,Яйцо
Item_Egg_description,"Укажите направление, чтобы метнуть яйцо. Если в противника попадет три яйца, случится магия!"
State_Im_Chicken_name,Ты цыпленок!
State_Im_Chicken_description,Какая удача!
Ability_Accursed1_name,Cauterize
Ability_Accursed1_description,"Accursed тратит часть здоровья и выжигает воздух вокруг цели, нанося урон врагу или исцеляя союзника."
Ability_Accursed1_description_simple,"Укажите врага, чтобы нанести ^o{100,150,200,250} ед. магического урона^* или исцелить союзника на ^o{100,150,200,250} ед. здоровья^*.\n\nAccursed нанесёт себе ^o{50,75,100,125} ед. магического урона^*."
Ability_Accursed1_IMPACT_effect,"Укажите врага, чтобы нанести ^o{100,150,200,250} ед. магического урона^* или исцелить союзника на ^o{100,150,200,250} ед. здоровья^*. Наносит себе ^o{50,75,100,125} ед. магического урона."
Ability_Accursed1_tooltip_flavor,Добро и зло - две стороны целого.
Ability_Accursed2_name,Fire Shield
Ability_Accursed2_description,"Accursed закрывает дружественного воина щитом, оберегая от атак и снимая негативные эффекты. Если щит получает слишком много урона, то он взорвётся и нанесёт урон ближайшим врагам."
Ability_Accursed2_description_simple,"Укажите союзника (или своего героя), чтобы снять с него оглушения и негативные эффекты. Цель на 15 сек. получит щит, способный поглотить ^o{110,140,170,200} ед. урона^*.\n\nЕсли щит разрушен, он взрывается и наносит ближайшим врагам ^o{110,140,170,200} ед. магического урона."
Ability_Accursed2_effect_header,Эффект(-ы) Fire Shield
Ability_Accursed2_IMPACT_effect,"Снимает ослабления и оглушения, применяя Fire Shield на цель на 15 сек."
Ability_Accursed2_tooltip_flavor,"Вот, надень!"
State_Accursed_Ability2_name,Fire Shield
State_Accursed_Ability2_FRAME_effect,"Щит поглощает {110,140,170,200} ед. ослабленного броней урона.\n\nЕсли щит разрушен, он взрывается и наносит {110,140,170,200} ед. магического урона врагам в радиусе 700 ед."
Ability_Accursed3_name,Sear
Ability_Accursed3_description,"Атаки и способности Accursed накладывают эффект Sear на врагов на 2 сек., либо эффект Burning Strikes на себя или союзников на 4.5 сек."
Ability_Accursed3_description_simple,"Действует пассивно. Атаки и способности вашего героя накладывают эффект ^oSear^* на врагов на 2 сек., либо эффект ^oBurning Strikes^* на союзников на 4.5 сек.\n\nПод воздействием Sear скорость передвижения врагов снижается на ^o{5,10,15,20}%^*. Если союзники атакуют цель с эффектом Sear, они получают эффект ^oBurning Strikes^*.\n\nСкорость атаки союзников с этим эффектом увеличивается на ^o{10,20,30,40} ед.,^* а скорость передвижения на ^o10%^*."
Ability_Accursed3_effect_header,Эффект(-ы) Sear
Ability_Accursed3_effect_header2,Эффект(-ы) Burning Strikes
Ability_Accursed3_tooltip_flavor,Я ПЛАВЛЮСЬ!
State_Accursed_Ability3_name,Sear
State_Accursed_Ability3_description,Sear
State_Accursed_Ability3_Buff_name,Burning Strikes
State_Accursed_Ability3_Debuff_name,Sear
State_Accursed_Ability3_Debuff_FRAME_effect,"Если воина атакуют, нападающий на 4.5 сек. получает эффект Burning Strikes."
Ability_Accursed4_name,Flame Consumption
Ability_Accursed4_description,Accursed окружает себя плотным огненным вихрем. При получении урона вихрь восстанавливает здоровье героя.
Ability_Accursed4_description2,"^gСпособность можно усилить Staff ot the Master.^*\n\n^gЭффект усиления:^* продлевает действие до {5,6,7} сек. Может использоваться во время безмолвия или оглушения."
Ability_Accursed4_description_simple,"Активируйте, чтобы снять ослабления с вашего героя и в течение ^o{3,4,5} сек.^* превращать ^o100% полученного урона в здоровье^*.\n\n^gStaff of the Master^* продлевает действие до ^o{5,6,7} сек.^* и позволяет использовать Flame Consumption во время безмолвия или оглушения."
Ability_Accursed4_effect_header,Эффект(-ы) Protective Flames
Ability_Accursed4_IMPACT_effect,"Снимает ослабления и накладывает на себя Protective Flames на ^o{3,4,5} сек.^*"
Ability_Accursed4_name:ult_boost,Burning Consumption ^g(Усилено)^*
Ability_Accursed4_description2:ult_boost,^gСпособность усилена Staff of the Master.^*
Ability_Accursed4_IMPACT_effect:ult_boost,"Снимает ослабления ^gи оглушения^*, накладывает на себя Protective Flames на ^g{5,6,7}^* сек.\n\n^gМожет использоваться во время безмолвия или оглушения.^*"
Ability_Accursed4_description_simple:ult_boost,"Активируйте, чтобы снять с вашего героя ослабления и превращать ^o100% полученного урона в здоровье^* в течение ^o{5,6,7} сек.^* Может использоваться во время безмолвия или оглушения.\n\n^gЭта способность усилена Staff of the Master.^*"
Ability_Accursed4_tooltip_flavor,"Дайте мне нефть, дайте мне огонь, дайте мне то, что я хочу!"
State_Accursed_Ability4_name,Protective Flames
State_Accursed_Ability4_FRAME_effect,100% полученного урона превращается в здоровье
State_Accursed_Ability4_DAMAGED_effect,Превращает полученный урон в здоровье
Hero_Accursed_name,Accursed
Hero_Accursed_description,"Многие размышляли о том, какой великий и проклятый воин заточён в пылающих доспехах, которые идут с армией Преисподней. Accursed кричит в агонии, когда несет врагам огненное опустошение, но кажется, будто им движет не злоба, а лишь желание обрести забвение."
Hero_Accursed_role,"По специализации Accursed - танкующий боец поддержки, исцеляющий своих и ослабляющий врагов. Он наделён редкой способностью снимать оглушения благодаря Fire Shield. Выживаемость делает его особенно ценным во время командных битв, ведь противникам необходимо сосредатачивать атаки на нем."
Ability_Adrenaline1_name,Shard Blast
Ability_Adrenaline1_description,Adrenaline метает скопление осколков в указанном направлении.
Ability_Adrenaline1_description_simple,"^cСтоимость маны: 35% от максимального запаса маны^*\n\nУкажите направление, чтобы запустить туда осколок, нанести ^o{50,100,150,200} ед.^*  магического урона первому вражескому герою на пути и наложить на него ^r{6,7,8,9} зарядов Dread Stacks^*, если способность Rush изучена.\n\n-Осколок, попавший во врага, отскакивает в воздух. Если Adrenaline ловит осколок, он ^oвосстанавливает 35% от максимального запаса маны^*.\n\n-Если осколок упадёт на землю, ^oна месте приземления появится Ember Shard на 5 сек.^*"
Ability_Adrenaline1_description_simple:rapidfire,"^cСтоимость маны: 10% от максимального запаса маны^*\n\nУкажите направление, чтобы запустить туда осколок, нанести ^o{50,100,150,200} ед.^* магического урона первому вражескому герою на пути и наложить на него ^r{6,7,8,9} зарядов Dread Stacks^*, если способность Rush изучена.\n\n-Осколок, попавший во врага, отскакивает в воздух. Если Adrenaline ловит осколок, он ^oвосстанавливает 10% от максимального запаса маны^*.\n\n-Если осколок упадёт на землю, ^oна месте приземления появится Ember Shard на 5 сек.^*"
Ability_Adrenaline1_IMPACT_effect,"^cСтоимость маны: 35% от максимального запаса маны^*\n\nУкажите направление, чтобы запустить туда осколок, нанести ^o{50,100,150,200} ед.^* магического урона первому вражескому герою на пути и наложить на него ^r{6,7,8,9} зарядов Dread Stacks^*, если способность Rush изучена.\n\n-Осколок, попавший во врага, отскакивает в воздух на 0.9 сек. Если Adrenaline ловит осколок, он ^oвосстанавливает 35% от максимального запаса маны^*.\n\n-Если осколок упадёт на землю, ^oна месте приземления появится Ember Shard на 5 сек.^*\n\nЕсли цель находится в радиусе 200 ед. от Adrenaline, осколок приземлятся в 250 ед. за целью. В другом случае, Ember Shards появится в случайном месте между Adrenaline и целью.\n\nEmber Shards получают 400% урона, наносят 10% от базового урона вашего героя, имеют большую дальность атак, не могут передвигаться и атакуют не более 3 раз."
Ability_Adrenaline1_IMPACT_effect:rapidfire,"^cСтоимость маны: 10% от максимального запаса маны^*\n\nУкажите направление, чтобы запустить туда осколок, нанести ^o{50,100,150,200} ед.^* магического урона первому вражескому герою на пути и наложить на него ^r{6,7,8,9} зарядов Dread Stacks^*, если способность Rush изучена.\n\n-Осколок, попавший во врага, отскакивает в воздух на 0.9 сек. Если Adrenaline ловит осколок, он ^oвосстанавливает 10% от максимального запаса маны^*.\n\n-Если осколок упадёт на землю, ^oна месте приземления появится Ember Shard на 5 сек.^*\n\nЕсли цель находится в радиусе 200 ед. от Adrenaline, осколок приземлятся в 250 ед. за целью. В другом случае, осколок упадёт на землю в случайном месте между Adrenaline и целью.\n\nEmber Shards получают 400% урона, наносят 10% от базового урона вашего героя, имеют большую дальность атак, не могут передвигаться и атакуют не более 3 раз."
Ability_Adrenaline1_tooltip_flavor,
Ability_Adrenaline2_name,Rush
Ability_Adrenaline2_description,"Adrenaline делает рывок в указанном направлении, нанося огромный урон врагам на своём пути зарядами Dread Stacks."
Ability_Adrenaline2_description_simple,"^cСтоимость маны: {45}% от максимального запаса маны^*\n\nУкажите направление, чтобы сделать туда ^oрывок на 450 ед.^*, нанести ^o20 ед. чистого урона врагам на пути^* и поглотить на них заряды ^rDread Stacks^*, нанося дополнительный урон в размере ^o1% от максимального запаса здоровья врага^* за каждый заряд.\n\n^oАтаки вашего героя и иллюзий^* накладывают на цель по ^r2 заряда Dread Stacks^* на 6 сек., обновляя продолжителность действия зарядов при ударе.\n\nМаксимум ^o{12,20,28,36}^* зарядов ^rDread Stacks^*. Уничтожает деревья."
Ability_Adrenaline2_description_simple:rapidfire,"^cСтоимость маны: {15}% от максимального запаса маны^*\n\nУкажите направление, чтобы сделать туда ^oрывок на 450 ед.^*, нанести ^o20 ед. чистого урона врагам на пути^* и поглотить на них заряды ^rDread Stacks^*, нанося дополнительный урон в размере ^o1% от максимального запаса здоровья врага^* за каждый заряд.\n\n^oАтаки вашего героя и иллюзий^* накладывают на цель по ^r2 заряда Dread Stacks^* на 6 сек., обновляя продолжителность действия зарядов при ударе.\n\nМаксимум ^o{12,20,28,36}^* зарядов ^rDread Stacks^*. Уничтожает деревья."
Ability_Adrenaline2_effect_header,
